#Home Points, Away Points, Home Goals Shooten, Home Goals Got, Away Goals Shooten, Away Goals Got, Result(0 ^= draw, 1 ^= homeWin, 2 ^= awayWin), QuoteHome Bwin, QuoteDraw Bwin, QuoteAway Bwin 
33,30,37,35,27,34,1
21,62,25,48,51,19,2
18,29,35,57,36,43,3
56,34,41,18,31,30,2
27,36,38,40,38,35,3
51,27,37,21,25,41,3
36,32,28,23,42,41,2
50,34,56,32,35,31,1
30,30,27,35,33,41,3
24,34,35,56,31,33,1
65,19,54,20,36,58,3
30,53,37,44,61,32,2
37,36,40,37,28,25,1
35,27,44,41,38,56,1
34,37,31,36,35,32,1
31,28,33,41,40,42,1
28,21,27,43,26,51,3
34,31,35,36,27,35,2
52,56,39,23,43,22,2
34,30,28,35,37,45,1
37,38,36,34,49,42,2
20,29,38,60,28,44,1
27,40,39,61,42,37,2
28,34,40,45,35,37,3
36,34,28,27,36,41,1
56,66,62,32,56,22,1
22,52,27,52,39,25,3
59,37,45,22,33,37,1
66,37,56,25,29,35,1
23,62,28,53,47,22,2
30,29,37,46,40,45,3
43,37,44,37,37,36,3
41,37,51,43,33,39,1
53,23,40,26,41,60,3
29,59,28,47,65,32,3
35,39,35,37,29,27,3
34,27,36,42,39,63,1
37,30,29,37,29,48,2
38,37,37,36,39,44,1
24,23,42,61,28,55,1
65,44,49,22,53,44,2
27,36,41,66,38,40,1
37,44,34,41,44,37,3
40,31,32,30,37,46,2
30,69,40,45,58,25,3
60,54,66,33,41,27,3
27,65,45,62,49,24,2
36,41,38,41,39,37,2
45,47,46,39,55,44,2
37,38,40,46,36,43,1
70,40,60,27,32,32,1
23,61,29,58,66,33,2
34,30,39,46,42,66,3
55,37,41,27,29,38,1
33,31,30,48,42,47,2
37,23,30,41,32,63,2
44,35,41,38,41,48,3
45,68,47,44,50,24,1
31,73,44,68,63,28,3
50,40,60,45,45,48,3
34,58,45,47,44,28,1
38,36,38,48,39,43,3
40,33,33,35,30,51,1
64,27,71,36,45,63,1
74,45,64,29,42,39,3
26,37,34,63,46,47,3
36,39,42,49,40,50,2
27,37,45,69,30,43,1
