#Home Points, Away Points, Home Goals Shooten, Home Goals Got, Away Goals Shooten, Away Goals Got, Result(0 ^= draw, 1 ^= homeWin, 2 ^= awayWin), QuoteHome Bwin, QuoteDraw Bwin, QuoteAway Bwin 
-26,-21,-7,-5,-2,-2,-4,-2,2,-1,4.1,3.5,1.75,1
29,48,10,7,6,3,13,10,9,3,1.25,5.2,9.2,1
-11,-20,-2,-4,-4,-3,-4,-6,-6,-5,2.9,3.3,2.2,1
-27,-39,-6,-6,-3,0,-6,-8,-2,0,4.1,3.5,1.75,3
-10,-21,0,-1,-1,-3,-2,-5,-1,-3,1.95,3.3,3.5,1
1,0,2,1,0,-3,1,0,-1,-3,1.8,3.4,4.0,2
25,17,5,2,0,0,5,2,0,0,1.4,4.1,7.0,1
-1,11,-3,-5,-2,0,0,-4,-2,0,1.9,3.35,3.6,2
-16,-24,-5,-3,0,-3,-7,-6,-4,-6,4.1,3.5,1.75,2
-9,-26,-1,-1,-1,0,-4,-4,-4,-2,2.4,3.35,2.6,1
6,6,1,0,-3,-3,3,-1,-4,-5,1.8,3.4,4.0,3
27,40,5,5,5,2,6,6,6,3,1.25,5.0,10.0,1
-15,-20,-2,-2,-2,-2,-1,0,1,-2,2.0,3.35,3.3,1
-3,-21,3,0,-2,1,2,0,-1,1,2.35,3.35,2.65,2
27,55,4,3,2,-1,9,4,3,-1,1.25,5.0,10.0,1
5,15,-3,-2,-3,-3,0,1,-1,-2,1.75,3.5,4.1,2
-7,-6,4,1,3,0,11,5,6,1,2.05,3.25,3.25,2
-5,2,3,3,3,0,0,1,0,-2,2.25,3.35,2.8,1
-1,-3,-1,0,3,3,-1,0,2,3,2.15,3.3,3.0,2
5,18,-5,-3,-3,-3,-6,-5,-4,-5,2.0,3.35,3.3,1
6,6,6,6,3,3,6,7,3,3,1.5,3.9,5.6,3
-26,-47,-3,-2,1,0,-4,-3,0,-1,4.2,3.6,1.7,2
-21,-28,-3,-3,-3,-3,-4,-4,-3,-2,4.75,3.5,1.65,2
-31,-49,-6,-6,-3,-3,-8,-8,-5,-6,3.5,3.45,1.9,1
-1,-3,-3,-2,1,0,0,1,3,1,1.75,3.4,4.2,3
12,8,2,2,2,0,1,1,1,-2,1.6,3.6,5.0,2
3,4,0,0,0,0,-3,-3,-1,-1,1.9,3.35,3.6,2
13,17,-1,-4,-1,0,-4,-7,-1,1,1.9,3.45,3.5,2
9,4,0,0,0,0,-4,-4,-1,-1,1.8,3.5,3.8,2
33,46,2,2,0,0,1,3,0,0,1.25,5.2,9.0,1
19,30,3,3,1,1,1,3,2,2,1.45,4.2,5.8,1
3,0,7,4,1,1,6,3,0,1,1.55,3.7,5.3,1
21,33,-2,-2,0,0,1,0,2,0,1.55,3.7,5.3,1
-6,13,6,3,6,3,7,3,7,2,2.3,3.1,2.9,1
-7,-10,-2,-2,1,1,-4,-4,0,1,1.9,3.25,3.7,1
14,21,6,3,0,0,10,5,1,0,1.45,4.2,5.8,3
-4,-13,0,0,0,3,2,1,1,3,2.25,3.2,2.9,1
4,10,4,4,5,2,2,2,5,1,2.1,3.1,3.3,3
-5,-10,3,2,-1,-3,2,0,-3,-4,1.75,3.45,4.25,2
-28,-40,-9,-7,-4,-3,-10,-9,-6,-4,4.8,3.7,1.6,3
-27,-58,-3,-6,-3,-3,-8,-11,-6,-6,3.45,3.35,1.95,1
-26,-35,-9,-6,-6,-3,-10,-5,-6,-4,4.2,3.4,1.75,2
-24,-33,-4,-2,1,0,-4,-3,1,0,2.9,3.3,2.2,1
7,-6,-3,-6,-6,-3,-5,-9,-7,-4,1.85,3.45,3.7,3
11,31,-4,-1,-4,-3,-3,-1,-4,-3,1.35,4.5,7.2,1
3,1,-4,-7,-4,-1,-3,-8,-4,-2,2.2,3.1,3.1,1
-9,-10,-3,-2,-5,-2,-5,-2,-5,-3,2.5,3.3,2.5,1
-18,-17,3,3,2,-1,4,3,2,-3,4.15,3.45,1.75,2
-21,-32,-2,1,1,1,-1,3,4,4,2.7,3.25,2.35,2
9,27,2,2,-1,-3,3,3,1,-2,1.45,4.1,5.9,1
21,44,1,1,1,-2,6,4,3,-1,1.45,4.25,5.75,1
-31,-40,-5,-2,0,0,-4,-1,0,0,3.75,3.4,1.85,2
6,18,1,1,1,0,7,5,5,3,2.0,3.35,3.3,1
14,19,1,-2,-2,-3,3,-1,-1,-3,1.3,4.7,8.3,1
-7,-28,2,2,1,-2,1,1,0,-3,2.4,3.35,2.6,1
16,19,1,1,-1,-3,1,1,0,-3,1.6,3.7,4.8,3
33,41,5,5,3,0,8,8,6,1,1.3,4.7,8.3,1
-29,-42,-1,-4,-3,-3,-4,-6,-4,-2,4.5,3.65,1.65,1
-10,-10,-4,-1,2,-1,-6,-4,1,-1,2.8,3.2,2.3,1
-10,-22,2,0,3,0,-1,-2,3,-1,1.95,3.3,3.5,3
-5,0,4,3,0,-3,10,9,5,-3,2.15,3.25,3.05,1
-21,-40,-3,-1,1,-2,-3,-2,1,-2,3.2,3.3,2.05,3
11,9,-4,-3,0,0,-5,-4,1,1,1.75,3.5,4.1,2
35,68,2,2,2,0,5,4,3,0,1.15,6.7,12.0,1
-9,-20,-6,-3,-1,-3,-8,-5,-4,-5,2.85,3.3,2.25,3
-5,-8,-1,-3,0,0,-2,-4,0,0,2.25,3.4,2.75,2
22,35,6,3,5,2,9,4,5,1,1.25,5.2,9.2,1
-42,-53,-3,-3,-3,0,-4,-5,-5,-2,7.8,4.9,1.3,2
19,28,1,-2,-2,-3,6,1,-2,-3,1.5,3.9,5.6,2
13,30,1,-2,1,-2,5,0,2,-1,1.25,5.2,9.2,3
-14,-38,-3,-3,0,-3,-10,-9,-2,-4,4.0,3.6,1.75,2
18,29,2,0,2,0,2,1,3,0,1.3,4.9,7.8,1
-2,-1,-5,-3,0,-3,-8,-6,-1,-4,1.95,3.1,3.75,2
-16,-24,-8,-6,-3,-3,-14,-12,-6,-5,2.3,3.55,2.6,2
6,8,6,4,2,0,8,5,2,-1,1.25,5.2,9.0,1
-2,-1,-2,-2,1,1,-1,1,5,4,2.25,3.4,2.75,3
